,lon,lat,forestcoverfraction
1036,76.25,36.25,1.0
1037,76.75,6.25,
1038,76.75,6.75,
1039,76.75,7.25,
1040,76.75,7.75,
1041,76.75,8.25,42.0
1042,76.75,8.75,31.0
1043,76.75,9.25,34.0
1044,76.75,9.75,43.0
1045,76.75,10.25,50.0
1046,76.75,10.75,23.0
1047,76.75,11.25,32.0
1048,76.75,11.75,13.0
1049,76.75,12.25,5.0
1050,76.75,12.75,4.0
1051,76.75,13.25,3.0
1052,76.75,13.75,3.0
1053,76.75,14.25,2.0
1054,76.75,14.75,2.0
1055,76.75,15.25,5.0
1056,76.75,15.75,4.0
1057,76.75,16.25,4.0
1058,76.75,16.75,6.0
1059,76.75,17.25,8.0
1060,76.75,17.75,9.0
1061,76.75,18.25,14.0
1062,76.75,18.75,12.0
1063,76.75,19.25,15.0
1064,76.75,19.75,11.0
1065,76.75,20.25,10.0
1066,76.75,20.75,10.0
1067,76.75,21.25,7.0
1068,76.75,21.75,6.0
1069,76.75,22.25,6.0
1070,76.75,22.75,7.0
1071,76.75,23.25,7.0
